"id","map_type_id","model_id/id","field_id/id","in_value","out_value"
"map_gfmis_report_84","GFMIS Report","account.model_account_account","account.field_account_account_code",1101060028,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_85","GFMIS Report","account.model_account_account","account.field_account_account_code",1101070001,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_86","GFMIS Report","account.model_account_account","account.field_account_account_code",1101070002,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_87","GFMIS Report","account.model_account_account","account.field_account_account_code",1101070003,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_88","GFMIS Report","account.model_account_account","account.field_account_account_code",1101070004,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_89","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080001,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_90","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080002,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_91","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080003,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_92","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080004,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_93","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080005,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_94","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080006,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_95","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080007,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
"map_gfmis_report_96","GFMIS Report","account.model_account_account","account.field_account_account_code",1101080008,"1101030112 - บัญชีเงินฝากกระแส/ออมทรัพย์ - INTERFACE"
